,date,compound,negative,neutral,positive,title,text
0,2021-03-15 22:25:02,-0.5574,0.11,0.89,0.0,India will reportedly introduce bill to make owning cryptocurrency illegal,"One of the strictest crackdowns worldwide
Photo by Michele Doying / The Verge
India is reportedly moving forward with a sweeping ban on cryptocurrencies. According to Reuters, the countrys legislat… [+1656 chars]"
2,2021-03-16 21:40:35,-0.5106,0.142,0.858,0.0,Teen hacker behind the big Twitter hack sentenced to 3 years in prison,"The hacker behind last years big Twitter hack
 has just been sentenced to hard time.
Graham Ivan Clark, the teenage hacker who broke
 into Twitters systems, took over verified accounts, and used t… [+2552 chars]"
3,2021-02-26 00:40:52,0.6369,0.0,0.887,0.113,Coinbase says unmasking Satoshi Nakamoto might harm its business,"Some things are best left a mystery at least as far as Coinbase is concerned. 
The San Francisco-based cryptocurrency exchange has been preparing to go public since last year, and in a Thursday pros… [+1953 chars]"
6,2021-02-25 10:00:00,0.8316,0.0,0.754,0.246,"Here's how you could win $8,000 in Bitcoin, investing classes, and more","TL;DR: Enter the The Complete Bitcoin (BTC) Investment Giveaway for a chance to win over $12,000 in cryptocurrency-related prizes.
The Bitcoin Investment Giveaway includes everything you need to get… [+1641 chars]"
7,2021-03-15 09:15:00,-0.25,0.095,0.838,0.068,"India Looks to Criminalize Trading, Mining, and Holding Cryptocurrencies: Report","A proposed law in India would make it a crime to mine, trade, or even hold cryptocurrencies like bitcoin in the country, according to a new report from Reuters citing a senior government official. It… [+1725 chars]"
8,2021-02-23 14:50:21,0.1027,0.0,0.958,0.042,"Elon Musk, Bill Gates and Janet Yellen are sending bitcoin tumbling","New York (CNN Business)Bitcoin's roller coaster ride continues. The top cryptocurrency surged to a new all-time high above $58,000 on Sunday but fell to just above $46,000 in early trading Tuesday mo… [+2159 chars]"
9,2021-02-17 18:24:31,0.5994,0.0,0.855,0.145,Crypto wallet and exchange company Blockchain.com raises $120 million,"Blockchain.com has announced that it has raised a $120 million funding round. The company develops a popular cryptocurrency wallet as well as an exchange, an explorer and more.
Moore Strategic Ventu… [+2165 chars]"
10,2021-02-25 13:23:28,0.4404,0.0,0.912,0.088,Coinbase files to go public in a key listing for the cryptocurrency category,"This morning Coinbase, an American cryptocurrency exchange, released an S-1 filing ahead of its direct listing. The company’s public debut has been hotly anticipated thanks to recent activity amongst… [+2409 chars]"
11,2021-02-19 19:44:07,0.0,0.0,1.0,0.0,"Tesla CEO Elon Musk Says Bitcoin Purchase is ""Less Dumb"" Than Holding Cash","February
19, 2021
3 min read
This story originally appeared on ValueWalkTesla CEO Elon Musk is talking more about the automaker’s bitcoin purchase. In response to a comment from Binance CEO Changp… [+2194 chars]"
12,2021-03-05 13:23:00,0.0,0.0,1.0,0.0,MicroStrategy buys 205 bitcoin for $10 million - Reuters,"By Reuters Staff
FILE PHOTO: A collection of bitcoin (virtual currency) tokens are displayed in this picture illustration taken Dec. 8, 2017. REUTERS/Benoit Tessier/Illustration
(Reuters) - MicroSt… [+905 chars]"
13,2021-03-01 13:35:00,0.0,0.0,1.0,0.0,MicroStrategy bitcoin holding valued at $4.38 billion after latest buy - Reuters,"By Reuters Staff
FILE PHOTO: Representations of virtual currency Bitcoin are placed on a computer motherboard in this illustration taken January 21, 2021. REUTERS/Dado Ruvic/Illustration
(Reuters) … [+1303 chars]"
14,2021-02-21 19:38:00,0.6249,0.0,0.855,0.145,Bitcoin hits fresh high - Reuters,"By Reuters Staff
Feb 21 (Reuters) - Bitcoin continued gaining on Sunday, rising to a fresh high and extending a two-month rally that took its market capitalization above $1 trillion on Friday.
The … [+296 chars]"
15,2021-03-02 10:51:00,0.0,0.0,1.0,0.0,Breakingviews - Capital Calls: China digs bitcoin hole - Reuters,"By Reuters Staff
Cryptocurrency mining facilities are seen in Pristina, Kosovo June 12, 2018.
HONG KONG (Reuters Breakingviews) - Concise insights on global finance in the Covid-19 era.
SUPPLY-SID… [+1621 chars]"
16,2021-02-19 12:30:00,0.4404,0.0,0.923,0.077,07:30 ET Evolve Announces Bitcoin ETF Begins Trading on TSX - Canada NewsWire,"TORONTO, Feb. 19, 2021 /CNW/ - Evolve Funds Group Inc. (""Evolve"") is pleased to announce the launch of the Bitcoin ETF (""EBIT""). EBIT has closed its initial offering of units and will begin trading o… [+5470 chars]"
17,2021-02-24 00:32:24,0.0,0.0,1.0,0.0,Why Bitcoin Is Down Big Today - The Motley Fool Canada,The cryptocurrency market has encountered major headwinds to open the final trading week of February. It is not the only sector that has been impacted. North American stocks were down broadly in mid-… [+3563 chars]
18,2021-02-19 22:28:12,0.34,0.0,0.93,0.07,Bitcoin’s value just passed $1 trillion,"4 with 4 posters participating
Bitcoin's price soared past $56,000 on Friday, pushing the combined value of all bitcoins past the $1 trillion markat least in theory. That's more than the market capi… [+2442 chars]"
19,2021-02-17 22:30:00,-0.1531,0.137,0.769,0.093,U.S. Charges Members of North Korean Hacker Group of Allegedly Stealing Over $1 Billion in Bitcoin,"The U.S. Department of Justice has charged three members of Lazarus, a DPKR-sponsored hacker cell that, since its inception, has reportedly stolen over a billion dollars in Bitcoin and other cryptocu… [+3992 chars]"
